elapsed_time,V1
'00:00:20.456',0.470
'00:00:20.458',0.485
'00:00:20.461',0.485
'00:00:20.464',0.475
'00:00:20.467',0.460
'00:00:20.469',0.460
'00:00:20.472',0.450
'00:00:20.475',0.440
'00:00:20.478',0.460
'00:00:20.481',0.450
'00:00:20.483',0.440
'00:00:20.486',0.425
'00:00:20.489',0.420
'00:00:20.492',0.420
'00:00:20.494',0.430
'00:00:20.497',0.405
'00:00:20.500',0.405
'00:00:20.503',0.380
'00:00:20.506',0.380
'00:00:20.508',0.375
'00:00:20.511',0.380
'00:00:20.514',0.360
'00:00:20.517',0.340
'00:00:20.519',0.325
'00:00:20.522',0.320
'00:00:20.525',0.305
'00:00:20.528',0.300
'00:00:20.531',0.285
'00:00:20.533',0.275
'00:00:20.536',0.260
'00:00:20.539',0.240
'00:00:20.542',0.250
'00:00:20.544',0.235
'00:00:20.547',0.230
'00:00:20.550',0.225
'00:00:20.553',0.205
'00:00:20.556',0.205
'00:00:20.558',0.205
'00:00:20.561',0.200
'00:00:20.564',0.200
'00:00:20.567',0.195
'00:00:20.569',0.185
'00:00:20.572',0.175
'00:00:20.575',0.155
'00:00:20.578',0.180
'00:00:20.581',0.175
'00:00:20.583',0.165
'00:00:20.586',0.155
'00:00:20.589',0.155
'00:00:20.592',0.175
'00:00:20.594',0.185
'00:00:20.597',0.185
'00:00:20.600',0.160
'00:00:20.603',0.165
'00:00:20.606',0.155
'00:00:20.608',0.170
'00:00:20.611',0.185
'00:00:20.614',0.185
'00:00:20.617',0.200
'00:00:20.619',0.200
'00:00:20.622',0.190
'00:00:20.625',0.230
'00:00:20.628',0.240
'00:00:20.631',0.225
'00:00:20.633',0.190
'00:00:20.636',0.165
'00:00:20.639',0.160
'00:00:20.642',0.175
'00:00:20.644',0.190
'00:00:20.647',0.190
'00:00:20.650',0.180
'00:00:20.653',0.160
'00:00:20.656',0.170
'00:00:20.658',0.185
'00:00:20.661',0.195
'00:00:20.664',0.200
'00:00:20.667',0.190
'00:00:20.669',0.190
'00:00:20.672',0.190
'00:00:20.675',0.205
'00:00:20.678',0.215
'00:00:20.681',0.220
'00:00:20.683',0.210
'00:00:20.686',0.205
'00:00:20.689',0.195
'00:00:20.692',0.215
'00:00:20.694',0.220
'00:00:20.697',0.225
'00:00:20.700',0.210
'00:00:20.703',0.195
'00:00:20.706',0.195
'00:00:20.708',0.200
'00:00:20.711',0.220
'00:00:20.714',0.220
'00:00:20.717',0.220
'00:00:20.719',0.205
'00:00:20.722',0.215
'00:00:20.725',0.215
'00:00:20.728',0.215
'00:00:20.731',0.220
'00:00:20.733',0.210
'00:00:20.736',0.205
'00:00:20.739',0.195
'00:00:20.742',0.205
'00:00:20.744',0.215
'00:00:20.747',0.200
'00:00:20.750',0.195
'00:00:20.753',0.190
'00:00:20.756',0.185
'00:00:20.758',0.195
'00:00:20.761',0.205
'00:00:20.764',0.195
'00:00:20.767',0.190
'00:00:20.769',0.175
'00:00:20.772',0.165
'00:00:20.775',0.165
'00:00:20.778',0.195
'00:00:20.781',0.175
'00:00:20.783',0.170
'00:00:20.786',0.165
'00:00:20.789',0.165
'00:00:20.792',0.180
'00:00:20.794',0.190
'00:00:20.797',0.190
'00:00:20.800',0.180
'00:00:20.803',0.185
'00:00:20.806',0.200
'00:00:20.808',0.235
'00:00:20.811',0.260
'00:00:20.814',0.200
'00:00:20.817',0.145
'00:00:20.819',0.120
'00:00:20.822',0.110
'00:00:20.825',0.135
'00:00:20.828',0.155
'00:00:20.831',0.145
'00:00:20.833',0.135
'00:00:20.836',0.140
'00:00:20.839',0.130
'00:00:20.842',0.140
'00:00:20.844',0.165
'00:00:20.847',0.155
'00:00:20.850',0.150
'00:00:20.853',0.140
'00:00:20.856',0.135
'00:00:20.858',0.135
'00:00:20.861',0.145
'00:00:20.864',0.140
'00:00:20.867',0.125
'00:00:20.869',0.115
'00:00:20.872',0.110
'00:00:20.875',0.130
'00:00:20.878',0.150
'00:00:20.881',0.125
'00:00:20.883',0.115
'00:00:20.886',0.105
'00:00:20.889',0.110
'00:00:20.892',0.110
'00:00:20.894',0.115
'00:00:20.897',0.125
'00:00:20.900',0.115
'00:00:20.903',0.115
'00:00:20.906',0.115
'00:00:20.908',0.115
'00:00:20.911',0.125
'00:00:20.914',0.115
'00:00:20.917',0.105
'00:00:20.919',0.090
'00:00:20.922',0.095
'00:00:20.925',0.100
'00:00:20.928',0.105
'00:00:20.931',0.115
'00:00:20.933',0.085
'00:00:20.936',0.100
'00:00:20.939',0.085
'00:00:20.942',0.100
'00:00:20.944',0.115
'00:00:20.947',0.110
'00:00:20.950',0.100
'00:00:20.953',0.095
'00:00:20.956',0.105
'00:00:20.958',0.105
'00:00:20.961',0.125
'00:00:20.964',0.115
'00:00:20.967',0.100
'00:00:20.969',0.105
'00:00:20.972',0.090
'00:00:20.975',0.105
'00:00:20.978',0.110
'00:00:20.981',0.100
'00:00:20.983',0.075
'00:00:20.986',0.085
'00:00:20.989',0.085
'00:00:20.992',0.105
'00:00:20.994',0.120
'00:00:20.997',0.110
'00:00:21.000',0.105
'00:00:21.003',0.105
'00:00:21.006',0.090
'00:00:21.008',0.110
'00:00:21.011',0.115
'00:00:21.014',0.110
'00:00:21.017',0.115
'00:00:21.019',0.095
'00:00:21.022',0.100
'00:00:21.025',0.090
'00:00:21.028',0.095
'00:00:21.031',0.095
'00:00:21.033',0.100
'00:00:21.036',0.090
'00:00:21.039',0.095
'00:00:21.042',0.090
'00:00:21.044',0.100
'00:00:21.047',0.095
'00:00:21.050',0.090
'00:00:21.053',0.075
'00:00:21.056',0.095
'00:00:21.058',0.110
'00:00:21.061',0.110
'00:00:21.064',0.105
'00:00:21.067',0.115
'00:00:21.069',0.095
'00:00:21.072',0.090
'00:00:21.075',0.100
'00:00:21.078',0.100
'00:00:21.081',0.100
'00:00:21.083',0.095
'00:00:21.086',0.090
'00:00:21.089',0.100
'00:00:21.092',0.115
'00:00:21.094',0.135
'00:00:21.097',0.145
'00:00:21.100',0.140
'00:00:21.103',0.150
'00:00:21.106',0.160
'00:00:21.108',0.165
'00:00:21.111',0.185
'00:00:21.114',0.185
'00:00:21.117',0.195
'00:00:21.119',0.195
'00:00:21.122',0.180
'00:00:21.125',0.165
'00:00:21.128',0.170
'00:00:21.131',0.160
'00:00:21.133',0.155
'00:00:21.136',0.135
'00:00:21.139',0.125
'00:00:21.142',0.135
'00:00:21.144',0.150
'00:00:21.147',0.140
'00:00:21.150',0.130
'00:00:21.153',0.140
'00:00:21.156',0.135
'00:00:21.158',0.140
'00:00:21.161',0.135
'00:00:21.164',0.125
'00:00:21.167',0.135
'00:00:21.169',0.110
'00:00:21.172',0.110
'00:00:21.175',0.100
'00:00:21.178',0.105
'00:00:21.181',0.090
'00:00:21.183',0.075
'00:00:21.186',0.075
'00:00:21.189',0.060
'00:00:21.192',0.080
'00:00:21.194',0.080
'00:00:21.197',0.085
'00:00:21.200',0.075
'00:00:21.203',0.065
'00:00:21.206',0.065
'00:00:21.208',0.070
'00:00:21.211',0.080
'00:00:21.214',0.075
'00:00:21.217',0.075
'00:00:21.219',0.065
'00:00:21.222',0.060
'00:00:21.225',0.065
'00:00:21.228',0.075
'00:00:21.231',0.075
'00:00:21.233',0.065
'00:00:21.236',0.050
'00:00:21.239',0.050
'00:00:21.242',0.055
'00:00:21.244',0.060
'00:00:21.247',0.060
'00:00:21.250',0.060
'00:00:21.253',0.045
'00:00:21.256',0.045
'00:00:21.258',0.050
'00:00:21.261',0.055
'00:00:21.264',0.055
'00:00:21.267',0.040
'00:00:21.269',0.045
'00:00:21.272',0.055
'00:00:21.275',0.055
'00:00:21.278',0.030
'00:00:21.281',-0.040
'00:00:21.283',-0.155
'00:00:21.286',-0.260
'00:00:21.289',-0.390
'00:00:21.292',-0.550
'00:00:21.294',-0.735
'00:00:21.297',-1.015
'00:00:21.300',-1.305
'00:00:21.303',-1.525
'00:00:21.306',-1.605
'00:00:21.308',-1.585
'00:00:21.311',-1.520
'00:00:21.314',-1.475
'00:00:21.317',-1.450
'00:00:21.319',-1.390
'00:00:21.322',-1.335
'00:00:21.325',-1.255
'00:00:21.328',-1.210
'00:00:21.331',-1.190
'00:00:21.333',-1.145
'00:00:21.336',-1.120
'00:00:21.339',-1.055
'00:00:21.342',-0.990
'00:00:21.344',-0.925
'00:00:21.347',-0.875
'00:00:21.350',-0.825
'00:00:21.353',-0.775
'00:00:21.356',-0.690
'00:00:21.358',-0.560
'00:00:21.361',-0.455
'00:00:21.364',-0.375
'00:00:21.367',-0.300
'00:00:21.369',-0.220
'00:00:21.372',-0.130
'00:00:21.375',-0.045
'00:00:21.378',0.035
'00:00:21.381',0.100
'00:00:21.383',0.155
'00:00:21.386',0.195
'00:00:21.389',0.235
'00:00:21.392',0.265
'00:00:21.394',0.305
'00:00:21.397',0.305
'00:00:21.400',0.305
'00:00:21.403',0.310
'00:00:21.406',0.325
'00:00:21.408',0.340
'00:00:21.411',0.340
'00:00:21.414',0.350
'00:00:21.417',0.360
'00:00:21.419',0.360
'00:00:21.422',0.350
'00:00:21.425',0.380
'00:00:21.428',0.385
'00:00:21.431',0.395
'00:00:21.433',0.385
'00:00:21.436',0.385
'00:00:21.439',0.385
'00:00:21.442',0.405
'00:00:21.444',0.410
'00:00:21.447',0.410
'00:00:21.450',0.410
'00:00:21.453',0.405
'00:00:21.456',0.395
'00:00:21.458',0.405
'00:00:21.461',0.420
'00:00:21.464',0.410
'00:00:21.467',0.425
'00:00:21.469',0.410
'00:00:21.472',0.410
'00:00:21.475',0.425
'00:00:21.478',0.430
'00:00:21.481',0.420
'00:00:21.483',0.415
'00:00:21.486',0.410
'00:00:21.489',0.415
'00:00:21.492',0.435
'00:00:21.494',0.450
'00:00:21.497',0.440
'00:00:21.500',0.435
'00:00:21.503',0.435
'00:00:21.506',0.440
'00:00:21.508',0.450
'00:00:21.511',0.455
'00:00:21.514',0.450
'00:00:21.517',0.440
'00:00:21.519',0.430
'00:00:21.522',0.430
'00:00:21.525',0.445
'00:00:21.528',0.465
'00:00:21.531',0.450
'00:00:21.533',0.450
'00:00:21.536',0.430
'00:00:21.539',0.430
'00:00:21.542',0.440
'00:00:21.544',0.445
'00:00:21.547',0.440
'00:00:21.550',0.445
'00:00:21.553',0.435
'00:00:21.556',0.430
'00:00:21.558',0.420
'00:00:21.561',0.430
'00:00:21.564',0.430
'00:00:21.567',0.420
'00:00:21.569',0.415
'00:00:21.572',0.395
'00:00:21.575',0.400
'00:00:21.578',0.410
'00:00:21.581',0.390
'00:00:21.583',0.400
'00:00:21.586',0.375
'00:00:21.589',0.375
'00:00:21.592',0.370
'00:00:21.594',0.375
'00:00:21.597',0.355
'00:00:21.600',0.345
'00:00:21.603',0.335
'00:00:21.606',0.325
'00:00:21.608',0.325
'00:00:21.611',0.325
'00:00:21.614',0.315
'00:00:21.617',0.300
'00:00:21.619',0.280
'00:00:21.622',0.250
'00:00:21.625',0.260
'00:00:21.628',0.260
'00:00:21.631',0.240
'00:00:21.633',0.230
'00:00:21.636',0.215
'00:00:21.639',0.195
'00:00:21.642',0.190
'00:00:21.644',0.185
'00:00:21.647',0.180
'00:00:21.650',0.160
'00:00:21.653',0.150
'00:00:21.656',0.135
'00:00:21.658',0.140
'00:00:21.661',0.155
'00:00:21.664',0.145
'00:00:21.667',0.135
'00:00:21.669',0.120
'00:00:21.672',0.120
'00:00:21.675',0.130
'00:00:21.678',0.135
'00:00:21.681',0.130
'00:00:21.683',0.120
'00:00:21.686',0.120
'00:00:21.689',0.110
'00:00:21.692',0.115
'00:00:21.694',0.130
'00:00:21.697',0.125
'00:00:21.700',0.120
'00:00:21.703',0.120
'00:00:21.706',0.115
'00:00:21.708',0.130
'00:00:21.711',0.140
'00:00:21.714',0.150
'00:00:21.717',0.135
'00:00:21.719',0.125
'00:00:21.722',0.140
'00:00:21.725',0.135
'00:00:21.728',0.145
'00:00:21.731',0.145
'00:00:21.733',0.150
'00:00:21.736',0.140
'00:00:21.739',0.140
'00:00:21.742',0.150
'00:00:21.744',0.160
'00:00:21.747',0.155
'00:00:21.750',0.155
'00:00:21.753',0.145
'00:00:21.756',0.140
'00:00:21.758',0.165
'00:00:21.761',0.175
'00:00:21.764',0.180
'00:00:21.767',0.175
'00:00:21.769',0.165
'00:00:21.772',0.170
'00:00:21.775',0.180
'00:00:21.778',0.200
'00:00:21.781',0.185
'00:00:21.783',0.180
'00:00:21.786',0.175
'00:00:21.789',0.160
'00:00:21.792',0.175
'00:00:21.794',0.185
'00:00:21.797',0.180
'00:00:21.800',0.180
'00:00:21.803',0.165
'00:00:21.806',0.175
'00:00:21.808',0.180
'00:00:21.811',0.185
'00:00:21.814',0.185
'00:00:21.817',0.170
'00:00:21.819',0.175
'00:00:21.822',0.175
'00:00:21.825',0.175
'00:00:21.828',0.180
'00:00:21.831',0.175
'00:00:21.833',0.160
'00:00:21.836',0.150
'00:00:21.839',0.140
'00:00:21.842',0.150
'00:00:21.844',0.160
'00:00:21.847',0.150
'00:00:21.850',0.140
'00:00:21.853',0.125
'00:00:21.856',0.125
'00:00:21.858',0.145
'00:00:21.861',0.160
'00:00:21.864',0.145
'00:00:21.867',0.135
'00:00:21.869',0.150
'00:00:21.872',0.140
'00:00:21.875',0.130
'00:00:21.878',0.135
'00:00:21.881',0.150
'00:00:21.883',0.125
'00:00:21.886',0.105
'00:00:21.889',0.095
'00:00:21.892',0.130
'00:00:21.894',0.120
'00:00:21.897',0.125
'00:00:21.900',0.115
'00:00:21.903',0.115
'00:00:21.906',0.100
'00:00:21.908',0.115
'00:00:21.911',0.130
'00:00:21.914',0.105
'00:00:21.917',0.120
'00:00:21.919',0.100
'00:00:21.922',0.100
'00:00:21.925',0.110
'00:00:21.928',0.120
'00:00:21.931',0.120
'00:00:21.933',0.100
'00:00:21.936',0.090
'00:00:21.939',0.095
'00:00:21.942',0.095
'00:00:21.944',0.110
'00:00:21.947',0.110
'00:00:21.950',0.095
'00:00:21.953',0.080
'00:00:21.956',0.080
'00:00:21.958',0.090
'00:00:21.961',0.100
'00:00:21.964',0.100
'00:00:21.967',0.085
'00:00:21.969',0.090
'00:00:21.972',0.090
'00:00:21.975',0.105
'00:00:21.978',0.110
'00:00:21.981',0.100
'00:00:21.983',0.095
'00:00:21.986',0.095
'00:00:21.989',0.095
'00:00:21.992',0.080
'00:00:21.994',0.105
'00:00:21.997',0.095
'00:00:22.000',0.095
'00:00:22.003',0.075
'00:00:22.006',0.065
'00:00:22.008',0.080
'00:00:22.011',0.085
'00:00:22.014',0.085
'00:00:22.017',0.085
'00:00:22.019',0.075
'00:00:22.022',0.080
'00:00:22.025',0.090
'00:00:22.028',0.115
'00:00:22.031',0.095
'00:00:22.033',0.090
'00:00:22.036',0.075
'00:00:22.039',0.090
'00:00:22.042',0.090
'00:00:22.044',0.095
'00:00:22.047',0.095
'00:00:22.050',0.085
'00:00:22.053',0.080
'00:00:22.056',0.065
'00:00:22.058',0.090
'00:00:22.061',0.110
'00:00:22.064',0.095
'00:00:22.067',0.090
'00:00:22.069',0.075
'00:00:22.072',0.065
'00:00:22.075',0.100
'00:00:22.078',0.105
'00:00:22.081',0.100
'00:00:22.083',0.095
'00:00:22.086',0.075
'00:00:22.089',0.085
'00:00:22.092',0.090
'00:00:22.094',0.095
'00:00:22.097',0.090
'00:00:22.100',0.085
'00:00:22.103',0.070
'00:00:22.106',0.070
'00:00:22.108',0.080
'00:00:22.111',0.100
'00:00:22.114',0.085
'00:00:22.117',0.085
'00:00:22.119',0.090
'00:00:22.122',0.090
'00:00:22.125',0.105
'00:00:22.128',0.120
'00:00:22.131',0.135
'00:00:22.133',0.140
'00:00:22.136',0.130
'00:00:22.139',0.145
'00:00:22.142',0.170
'00:00:22.144',0.175
'00:00:22.147',0.170
'00:00:22.150',0.180
'00:00:22.153',0.170
'00:00:22.156',0.150
'00:00:22.158',0.150
'00:00:22.161',0.140
'00:00:22.164',0.145
'00:00:22.167',0.125
'00:00:22.169',0.100
'00:00:22.172',0.100
'00:00:22.175',0.110
'00:00:22.178',0.105
'00:00:22.181',0.130
'00:00:22.183',0.120
'00:00:22.186',0.115
'00:00:22.189',0.115
'00:00:22.192',0.100
'00:00:22.194',0.110
'00:00:22.197',0.110
'00:00:22.200',0.085
'00:00:22.203',0.070
'00:00:22.206',0.040
'00:00:22.208',0.045
'00:00:22.211',0.050
'00:00:22.214',0.045
'00:00:22.217',0.040
'00:00:22.219',0.025
'00:00:22.222',0.030
'00:00:22.225',0.035
'00:00:22.228',0.040
'00:00:22.231',0.045
'00:00:22.233',0.040
'00:00:22.236',0.045
'00:00:22.239',0.025
'00:00:22.242',0.030
'00:00:22.244',0.050
'00:00:22.247',0.035
'00:00:22.250',0.030
'00:00:22.253',0.025
'00:00:22.256',0.025
'00:00:22.258',0.025
'00:00:22.261',0.030
'00:00:22.264',0.045
'00:00:22.267',0.030
'00:00:22.269',0.015
'00:00:22.272',0.010
'00:00:22.275',0.025
'00:00:22.278',0.030
'00:00:22.281',0.020
'00:00:22.283',0.020
'00:00:22.286',0.020
'00:00:22.289',0.010
'00:00:22.292',0.025
'00:00:22.294',0.025
'00:00:22.297',0.020
'00:00:22.300',0.025
'00:00:22.303',0.025
'00:00:22.306',0.010
'00:00:22.308',-0.025
'00:00:22.311',-0.095
'00:00:22.314',-0.215
'00:00:22.317',-0.325
'00:00:22.319',-0.465
'00:00:22.322',-0.655
'00:00:22.325',-0.890
'00:00:22.328',-1.155
'00:00:22.331',-1.450
'00:00:22.333',-1.610
'00:00:22.336',-1.630
'00:00:22.339',-1.570
'00:00:22.342',-1.510
'00:00:22.344',-1.460
'00:00:22.347',-1.420
'00:00:22.350',-1.360
'00:00:22.353',-1.315
'00:00:22.356',-1.275
'00:00:22.358',-1.220
'00:00:22.361',-1.170
'00:00:22.364',-1.120
'00:00:22.367',-1.070
'00:00:22.369',-1.020
'00:00:22.372',-0.960
'00:00:22.375',-0.890
'00:00:22.378',-0.825
'00:00:22.381',-0.765
'00:00:22.383',-0.680
'00:00:22.386',-0.560
'00:00:22.389',-0.460
'00:00:22.392',-0.365
'00:00:22.394',-0.280
'00:00:22.397',-0.195
'00:00:22.400',-0.125
'00:00:22.403',-0.070
'00:00:22.406',-0.005
'00:00:22.408',0.070
'00:00:22.411',0.130
'00:00:22.414',0.180
'00:00:22.417',0.210
'00:00:22.419',0.235
'00:00:22.422',0.240
'00:00:22.425',0.275
'00:00:22.428',0.275
'00:00:22.431',0.300
'00:00:22.433',0.300
'00:00:22.436',0.300
'00:00:22.439',0.310
'00:00:22.442',0.325
'00:00:22.444',0.350
'00:00:22.447',0.335
'00:00:22.450',0.355
'00:00:22.453',0.345
'00:00:22.456',0.350
'00:00:22.458',0.365
'00:00:22.461',0.370
'00:00:22.464',0.365
'00:00:22.467',0.365
'00:00:22.469',0.360
'00:00:22.472',0.365
'00:00:22.475',0.385
'00:00:22.478',0.400
'00:00:22.481',0.390
'00:00:22.483',0.380
'00:00:22.486',0.375
'00:00:22.489',0.395
'00:00:22.492',0.395
'00:00:22.494',0.415
'00:00:22.497',0.410
'00:00:22.500',0.410
'00:00:22.503',0.405
'00:00:22.506',0.400
'00:00:22.508',0.415
'00:00:22.511',0.420
'00:00:22.514',0.410
'00:00:22.517',0.415
'00:00:22.519',0.410
'00:00:22.522',0.405
'00:00:22.525',0.420
'00:00:22.528',0.425
'00:00:22.531',0.425
'00:00:22.533',0.420
'00:00:22.536',0.410
'00:00:22.539',0.410
'00:00:22.542',0.425
'00:00:22.544',0.440
'00:00:22.547',0.440
'00:00:22.550',0.430
'00:00:22.553',0.415
'00:00:22.556',0.420
'00:00:22.558',0.430
'00:00:22.561',0.440
'00:00:22.564',0.430
'00:00:22.567',0.430
'00:00:22.569',0.410
'00:00:22.572',0.400
'00:00:22.575',0.415
'00:00:22.578',0.420
'00:00:22.581',0.400
'00:00:22.583',0.400
'00:00:22.586',0.390
'00:00:22.589',0.380
'00:00:22.592',0.390
'00:00:22.594',0.405
'00:00:22.597',0.390
'00:00:22.600',0.380
'00:00:22.603',0.375
'00:00:22.606',0.360
'00:00:22.608',0.370
'00:00:22.611',0.370
'00:00:22.614',0.355
'00:00:22.617',0.335
'00:00:22.619',0.330
'00:00:22.622',0.310
'00:00:22.625',0.310
'00:00:22.628',0.300
'00:00:22.631',0.285
'00:00:22.633',0.270
'00:00:22.636',0.260
'00:00:22.639',0.240
'00:00:22.642',0.245
'00:00:22.644',0.250
'00:00:22.647',0.225
'00:00:22.650',0.205
'00:00:22.653',0.195
'00:00:22.656',0.185
'00:00:22.658',0.185
'00:00:22.661',0.190
'00:00:22.664',0.160
'00:00:22.667',0.165
'00:00:22.669',0.135
'00:00:22.672',0.135
'00:00:22.675',0.145
'00:00:22.678',0.145
'00:00:22.681',0.140
'00:00:22.683',0.120
'00:00:22.686',0.115
'00:00:22.689',0.115
'00:00:22.692',0.100
'00:00:22.694',0.125
'00:00:22.697',0.120
'00:00:22.700',0.110
'00:00:22.703',0.105
'00:00:22.706',0.110
'00:00:22.708',0.115
'00:00:22.711',0.135
'00:00:22.714',0.120
'00:00:22.717',0.125
'00:00:22.719',0.125
'00:00:22.722',0.125
'00:00:22.725',0.120
'00:00:22.728',0.135
'00:00:22.731',0.140
'00:00:22.733',0.130
'00:00:22.736',0.110
'00:00:22.739',0.130
'00:00:22.742',0.130
'00:00:22.744',0.135
'00:00:22.747',0.135
'00:00:22.750',0.130
'00:00:22.753',0.130
'00:00:22.756',0.140
'00:00:22.758',0.150
'00:00:22.761',0.150
'00:00:22.764',0.170
'00:00:22.767',0.160
'00:00:22.769',0.155
'00:00:22.772',0.155
'00:00:22.775',0.170
'00:00:22.778',0.175
'00:00:22.781',0.170
'00:00:22.783',0.160
'00:00:22.786',0.155
'00:00:22.789',0.165
'00:00:22.792',0.180
'00:00:22.794',0.180
'00:00:22.797',0.175
'00:00:22.800',0.170
'00:00:22.803',0.170
'00:00:22.806',0.170
'00:00:22.808',0.175
'00:00:22.811',0.205
'00:00:22.814',0.195
'00:00:22.817',0.185
'00:00:22.819',0.175
'00:00:22.822',0.180
'00:00:22.825',0.190
'00:00:22.828',0.185
'00:00:22.831',0.195
'00:00:22.833',0.200
'00:00:22.836',0.170
'00:00:22.839',0.160
'00:00:22.842',0.180
'00:00:22.844',0.195
'00:00:22.847',0.185
'00:00:22.850',0.175
'00:00:22.853',0.170
'00:00:22.856',0.160
'00:00:22.858',0.170
'00:00:22.861',0.175
'00:00:22.864',0.165
'00:00:22.867',0.165
'00:00:22.869',0.160
'00:00:22.872',0.165
'00:00:22.875',0.170
'00:00:22.878',0.165
'00:00:22.881',0.165
'00:00:22.883',0.155
'00:00:22.886',0.150
'00:00:22.889',0.145
'00:00:22.892',0.150
'00:00:22.894',0.155
'00:00:22.897',0.170
'00:00:22.900',0.145
'00:00:22.903',0.135
'00:00:22.906',0.145
'00:00:22.908',0.130
'00:00:22.911',0.150
'00:00:22.914',0.140
'00:00:22.917',0.140
'00:00:22.919',0.130
'00:00:22.922',0.135
'00:00:22.925',0.145
'00:00:22.928',0.160
'00:00:22.931',0.160
'00:00:22.933',0.145
'00:00:22.936',0.145
'00:00:22.939',0.130
'00:00:22.942',0.125
'00:00:22.944',0.145
'00:00:22.947',0.145
'00:00:22.950',0.130
'00:00:22.953',0.130
'00:00:22.956',0.125
'00:00:22.958',0.125
'00:00:22.961',0.140
